longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.83,39.76,12,9831,1921,4644,1775,3.1142,112600
-121.82,39.76,23,6010,1116,2710,1149,3.0068,107300
-121.86,39.78,12,7653,1578,3628,1494,3.0905,117800
-121.85,39.77,17,5273,1177,2446,1199,1.9362,89900
-121.84,39.76,14,2351,620,1215,548,2.3155,102300
-121.86,39.76,19,7254,1785,4030,1667,2.0094,87300
-121.89,39.76,15,10265,1860,4591,1906,3.07,142600
-121.88,39.74,12,14631,3298,7517,3262,1.6785,153100
-121.87,39.75,22,1707,296,822,297,3.6625,126600
-121.86,39.75,18,1651,309,856,293,3.5046,118300
-121.87,39.74,7,1737,290,747,265,3.9,147000
-121.85,39.75,39,568,127,267,129,1.8095,78100
-121.85,39.74,39,1139,265,623,264,2.2833,85800
-121.85,39.74,41,2901,689,1426,632,1.5633,84500
-121.85,39.73,52,444,80,1107,98,3.4191,137500
-121.85,39.73,17,3425,827,2469,758,0.9393,88900
-121.86,39.74,13,3494,843,1571,784,1.1019,120200
-121.84,39.75,29,4362,1053,2053,1000,1.7284,74500
-121.84,39.74,43,2976,599,1181,560,2.2621,85100
-121.83,39.74,34,3263,604,1290,594,2.575,130300
-121.8,39.75,28,2551,378,1011,374,4.3309,125200
-121.82,39.75,29,7744,1375,3316,1365,3.0253,111400
-121.82,39.75,37,2236,372,974,379,3.2016,97000
-121.8,39.75,11,7212,1355,3264,1264,3.1125,122600
-121.79,39.73,8,5690,1189,2887,1077,3.0625,116300
-121.78,39.71,8,140,28,84,29,2.125,179200
-121.82,39.73,44,2923,659,1371,626,2.2925,85800
-121.84,39.73,52,677,152,379,154,1.6797,94800
-121.84,39.73,52,502,100,311,100,1.5481,200000
-121.84,39.73,52,857,232,520,198,0.987,112500
-121.84,39.72,52,1457,389,802,342,0.9566,69000
-121.84,39.73,52,957,263,513,223,1.3672,55000
-121.83,39.73,52,1741,401,753,377,2.0064,77900
-121.85,39.72,18,7272,1559,5022,1524,1.6911,98800
-121.83,39.72,52,1890,420,974,383,1.6827,78700
-121.81,39.7,21,5051,1054,2948,980,1.5863,81300
-121.82,39.73,33,2242,517,1160,449,1.7426,60300
-121.82,39.72,42,2978,694,1879,679,1.5064,66300
-121.81,39.71,18,1222,250,708,281,2.0288,116700
-121.87,39.82,11,5103,825,2456,810,4.5032,159700
-121.89,39.71,26,2741,451,1217,437,3.7007,139200
-121.97,39.79,16,1453,299,904,286,3.5735,89600
-121.84,39.68,38,549,105,275,94,3.5375,153100
-121.8,39.64,25,2202,422,1109,403,2.8306,87500
-121.77,39.66,20,3759,,1705,600,4.712,158600
-121.74,39.59,24,1535,279,726,272,2.3833,95100
-121.9,39.59,20,1465,278,745,250,3.0625,93800
-121.75,39.88,16,2867,559,1203,449,2.7143,95300
-121.68,39.82,15,3996,748,1786,728,3.5189,141300
-121.54,40.06,17,858,262,47,27,2.4028,67500
-121.51,39.97,22,1468,285,611,235,2.3036,73000
-121.59,39.86,14,1527,269,665,261,2.8657,119600
-121.58,39.83,16,4591,904,1904,812,2.2419,93200
-121.6,39.8,10,1742,307,721,312,2.4537,117900
-121.62,39.79,11,3835,727,1456,658,2.5374,97200
-121.59,39.82,12,1958,369,875,354,2.3507,97600
-121.6,39.83,12,3744,699,1532,660,2.3079,95300
-121.63,39.82,11,3974,727,1610,634,2.6147,107700
-121.6,39.79,18,2672,533,1151,532,2.567,102900
-121.59,39.79,20,743,171,395,168,1.625,88300
-121.59,39.78,16,2754,570,1063,543,1.4048,86500
-121.59,39.78,18,945,205,385,207,2.1838,58000
-121.6,39.77,26,1503,343,699,296,1.875,84000
-121.61,39.77,25,1612,313,837,303,2.963,89500
-121.63,39.78,28,1677,327,770,309,2.6823,93400
-121.57,39.8,23,790,137,365,152,2.1912,115200
-121.57,39.78,18,2221,459,952,440,2.0458,105700
-121.59,39.77,24,1535,276,664,273,2.3068,97300
-121.58,39.79,19,2636,523,1184,465,2.7863,108600
-121.57,39.76,20,1384,257,557,232,2.0882,104900
-121.58,39.76,19,2487,485,1110,453,3.1061,110200
-121.58,39.76,18,1676,332,733,318,1.7875,103800
-121.59,39.75,20,908,206,481,211,2.2,80800
-121.6,39.77,23,2263,497,1138,455,2.3403,87300
-121.6,39.76,22,2447,556,1157,556,1.8245,85500
-121.61,39.76,31,2431,512,1026,427,2.5428,85000
-121.62,39.77,23,1759,366,788,359,1.8125,93500
-121.65,39.76,31,1599,318,794,303,3,96700
-121.63,39.76,22,2598,482,1151,490,2.8182,109700
-121.62,39.76,14,2063,559,934,529,1.7788,85800
-121.62,39.75,20,1173,261,523,258,1.0625,92800
-121.63,39.75,37,1296,296,569,257,1.8616,70500
-121.64,39.74,20,1808,334,763,335,2.3711,121800
-121.71,39.71,17,2748,556,1174,514,3.066,102600
-121.66,39.66,17,3502,655,1763,613,2.9625,101200
-121.56,39.69,8,2836,522,1163,512,3.13,168300
-121.57,39.74,17,1619,292,705,285,2.4623,126100
-121.59,39.74,17,1646,330,750,344,2.3798,83800
-121.6,39.75,19,2888,591,984,499,1.9766,92600
-121.6,39.68,15,1677,345,844,330,2.3958,111200
-121.5,39.83,15,1896,408,893,334,1.6948,87500
-121.41,39.72,17,1583,331,730,306,2.3895,87500
-121.39,39.61,22,2828,610,986,391,2.8871,94700
-121.24,39.65,35,632,148,221,102,2.3684,62500
-121.19,39.55,17,1483,284,481,211,1.4896,83300
-121.36,39.52,15,2490,527,1229,497,2.3917,85700
-121.56,39.52,9,818,197,358,197,1.7708,79500
-121.56,39.52,26,1957,429,945,397,1.7308,53600
-121.56,39.53,12,1733,421,1861,415,1.5771,65200
-121.54,39.6,15,886,204,576,205,2.1467,84100
-121.46,39.54,14,5549,1000,1822,919,2.9562,142300
-121.49,39.52,25,848,153,436,155,3.9028,93800
-121.44,39.5,26,1652,325,790,292,3.0446,90800
-121.47,39.49,17,1554,242,553,230,3.2174,91800
-121.47,39.51,19,3720,636,1304,607,2.6921,97500
-121.53,39.53,35,1806,293,683,295,4.5156,91200
-121.53,39.52,30,1030,161,448,159,2.4821,73800
-121.53,39.52,24,1028,185,471,186,2.9688,86400
-121.54,39.51,33,3585,757,1887,765,2.502,62100
-121.52,39.51,30,3085,610,1688,575,2.334,72200
-121.55,39.51,39,1551,353,684,310,2.0357,57600
-121.55,39.51,48,827,198,396,161,0.8024,58300
-121.55,39.51,50,1050,288,485,260,1.1607,51700
-121.56,39.51,47,1064,245,603,190,1.3654,57900
-121.56,39.51,46,1885,385,871,347,1.6352,53100
-121.57,39.5,31,2023,469,1073,436,1.5714,56100
-121.58,39.52,25,2409,490,1384,479,1.9956,58000
-121.58,39.51,24,1865,372,1087,385,1.6389,56700
-121.58,39.5,29,1947,383,925,337,2.1658,57600
-121.62,39.5,18,2105,416,974,385,1.6346,63300
-121.61,39.52,24,1610,324,909,323,1.8661,59800
-121.65,39.53,23,1387,325,640,289,1.4833,65200
-121.57,39.48,15,202,54,145,40,0.8252,42500
-121.55,39.5,26,3215,827,2041,737,1.0585,45100
-121.54,39.5,38,1438,310,779,275,1.3289,39400
-121.53,39.49,19,1537,329,617,274,1.5313,50300
-121.54,39.48,29,2896,596,1809,617,1.8047,53800
-121.54,39.47,14,1724,315,939,302,2.4952,53900
-121.55,39.48,41,461,107,284,90,2.2045,41800
-121.49,39.49,20,2505,468,1174,429,2.9965,88900
-121.52,39.5,33,1462,241,569,231,3.2833,82600
-121.52,39.49,30,1217,238,677,233,2.6563,63600
-121.52,39.48,21,2628,494,1364,468,2.0455,59400
-121.55,39.45,18,2278,523,1185,475,1.3611,60600
-121.53,39.44,26,1340,255,662,239,2.6071,57100
-121.55,39.44,31,1434,283,811,289,1.7727,49000
-121.52,39.43,15,2119,389,1079,374,2.3566,80400
-121.46,39.4,17,3659,735,1970,667,2.425,96200
-121.39,39.39,52,189,34,121,37,3.0208,60000
-121.54,39.33,27,720,150,359,138,2.5313,61300
-121.59,39.39,22,2515,482,1284,462,2.1776,73800
-121.67,39.37,27,2599,502,1241,502,1.9943,86300
-121.65,39.35,24,1003,251,1098,227,1.7552,86400
-121.67,39.34,22,1217,224,537,187,2.6607,84600
-121.65,39.32,40,812,154,374,142,2.7891,73500
-121.69,39.36,29,2220,471,1170,428,2.3224,56200
-121.7,39.37,32,1852,373,911,365,1.7885,57000
-121.7,39.36,46,1210,243,523,242,1.91,63900
-121.7,39.36,37,2330,495,1505,470,2.0474,56000
-121.69,39.36,34,842,186,635,165,1.8355,63000
-121.74,39.38,27,2596,435,1100,409,2.3243,85500
-121.8,39.33,30,1019,192,501,185,2.5259,81300
-121.71,39.42,21,1432,284,862,275,2.2813,57600
-121.71,39.41,22,1814,342,941,323,2.1728,59400
-121.75,39.4,29,1687,327,864,334,2.4943,81900
-121.79,39.48,39,1105,180,408,166,3.3929,82100
-120.46,38.15,16,4221,781,1516,697,2.3816,116000
-120.55,38.12,10,1566,325,785,291,2.5,116100
-120.56,38.09,34,2745,559,1150,491,2.3654,94900
-120.55,38.07,27,1199,224,463,199,2.9063,92200
-120.54,38.07,37,736,148,339,140,2.2875,79900
-120.67,37.97,9,7450,1475,2233,930,2.6528,133000
-120.46,38.09,16,3758,715,1777,615,3,122600
-120.79,38.24,19,1003,235,538,190,2.9821,90400
-120.9,38.2,16,3120,641,1319,526,2.0472,93200
-120.88,38.16,8,2029,387,1000,364,4.0109,125900
-120.91,38.11,9,3585,680,1800,598,3.636,133100
-120.76,38.12,7,7188,1288,3175,1115,3.8488,130600
-120.65,38.28,21,3095,681,1341,546,2.1382,104000
-120.72,38.24,32,2685,543,1061,492,2.5473,101600
-120.67,38.19,17,2967,611,1387,564,2.0417,92600
-120.57,38.2,13,4110,847,1796,706,2.6417,122300
-120.43,38.25,13,763,161,311,125,2.4583,112500
-120.56,38.39,20,1326,307,563,237,2.6667,86600
-120.54,38.41,21,1435,294,668,267,2.5667,77400
-120.42,38.42,18,2912,663,999,411,2.7344,91900
-120.41,38.33,17,1463,338,529,226,3.024,100900
-120.55,38.31,18,1411,312,592,230,1.625,94700
-120.57,38.35,17,1504,358,661,250,2.2604,84800
-120.36,38.21,10,4300,845,1480,609,2.8208,139900
-120.34,38.23,10,3757,722,546,223,3.75,121400
-120.33,38.26,13,2962,546,252,103,4.4063,155800
-120.34,38.25,17,5497,1056,997,408,2.9821,111500
-120.37,38.23,13,4401,829,924,383,2.6942,123500
-120.37,38.25,13,4495,856,1149,459,2.5352,113700
-120.27,38.29,10,3486,695,298,124,3.3542,103800
-120.27,38.31,13,3297,662,267,97,3.075,108300
-120.19,38.42,11,1568,369,82,33,3.125,77500
-121.91,39.03,48,1096,218,657,199,2.7841,65800
-122,38.99,39,1548,323,815,286,2.9489,67500
-122.13,39,23,3832,774,2435,747,2.2754,59200
-121.99,39.15,17,6440,1204,3266,1142,2.7137,72000
-122.04,39.22,27,1446,295,670,281,3.2625,92800
-122.08,39.25,52,224,38,120,45,3.017,112500
-122.33,39.1,10,266,62,154,49,2.25,75000
-122.2,39.15,33,1064,174,434,147,3.125,108000
-122.09,39.13,28,4169,895,2587,810,2.331,65500
-122.05,39.34,44,1064,230,494,175,2.875,61500
-122.17,39.31,35,2791,552,1395,476,2.5625,62700
-122.51,39.3,19,1629,386,551,214,1.7463,68800
-122.01,39.21,50,1592,372,781,307,2.2679,69100
-122.01,39.21,52,1989,392,985,396,2.5556,75800
-122.01,39.21,39,1214,250,660,249,2.4559,75000
-121.96,39.3,39,701,130,271,89,2.1845,112500
-121.65,38.03,28,3144,694,1095,482,3.4402,192400
-121.63,38.03,17,2549,596,1169,500,3.6694,209400
-121.63,38.04,25,2019,411,888,326,3.2619,183800
-121.73,38,3,9217,1522,3578,1272,5.0016,189100
-121.72,38,7,7957,1314,4460,1293,4.9618,156500
-121.72,37.98,5,7105,1143,3523,1088,5.0468,168800
-121.68,37.98,19,3388,599,1707,575,3.6411,162800
-121.7,37.98,9,3079,519,1562,512,5.1041,172900
-121.71,37.99,27,3861,718,2085,707,3.3558,129700
-121.67,37.99,22,1046,195,527,164,4.375,213500
-121.68,37.93,44,1014,225,704,238,1.6554,119400
-121.7,37.94,36,1710,320,861,300,2.8828,131100
-121.69,37.95,15,1850,441,1348,403,3.8125,125400
-121.7,37.96,33,2396,452,1391,465,3.2813,151400
-121.66,37.93,19,2055,358,1064,350,4.7426,263100
-121.7,37.91,17,1962,291,825,267,4.8958,187100
-121.7,37.93,19,2005,405,972,403,2.2216,156700
-121.74,37.95,5,4980,774,2399,763,5.7104,186300
-121.7,37.93,10,3258,612,1779,558,4.6587,152500
-121.6,37.91,13,2479,394,1075,350,5.1017,241400
-121.6,37.9,5,14684,2252,4276,1722,6.9051,340900
-121.61,37.86,30,1428,287,989,287,3.691,154400
-121.64,37.85,22,1999,415,967,320,4.4583,253900
-121.8,38.01,46,2273,495,1088,447,2.2532,109400
-121.81,38.01,47,1942,430,1074,393,2.2361,105100
-121.81,38.01,52,1124,245,528,226,2.2639,128500
-121.82,38.02,46,176,43,101,40,2.2361,93800
-121.82,38.01,42,1017,253,798,266,2.1719,99100
-121.82,38.01,50,1120,281,625,239,1.5988,96400
-121.82,38.01,25,3018,606,1614,568,3.4722,127000
-121.84,38.02,46,66,22,37,21,0.536,87500
-121.78,38.01,19,2688,469,1216,422,4.4491,133900
-121.79,38.01,17,4032,814,1749,618,3.1728,146800
-121.79,38,34,3090,593,1588,566,3.6118,124700
-121.8,38.01,44,3184,581,1399,548,2.7234,110200
-121.8,38.01,37,3058,567,1351,523,3.5179,130800
-121.78,38,8,2371,375,1094,396,5.3245,174500
-121.77,38.01,13,2983,534,1417,510,3.9861,168100
-121.81,37.99,18,2807,445,1315,437,4.8194,170400
-121.81,37.99,22,2331,359,1086,340,5.1435,150800
-121.82,37.98,13,3995,605,1969,607,5.0164,165200
-121.82,38.01,47,1265,254,587,247,2.6364,93500
-121.82,38,29,2070,452,985,420,2.8466,113400
-121.81,38,37,2724,579,1400,540,2.905,97300
-121.82,38,30,3268,567,1714,565,4.4583,131000
-121.85,38,26,3364,570,1806,566,4.2647,133400
-121.85,38,24,2269,584,1239,542,2.0411,100000
-121.83,38,15,6365,1646,3838,1458,2.5495,103600
-121.83,38,25,1710,288,799,259,4.8359,145300
-121.83,37.99,23,1150,174,572,174,4.9167,152400
-121.83,37.99,23,1970,296,935,279,4.4853,145900
-121.83,37.99,18,2741,449,1507,460,4.7566,142500
-121.83,38,8,2572,738,1384,684,1.7161,75800
-121.84,37.99,13,4545,952,2188,901,3.3625,126100
-121.84,37.99,15,2380,385,1292,388,4.6029,142600
-121.83,37.99,16,2919,462,1456,453,5.6779,164700
-121.79,38,36,1141,234,562,213,2.5893,108500
-121.79,37.99,10,4156,609,1878,586,5.6506,178600
-121.79,37.99,18,3646,534,1651,535,5.7321,164700
-121.8,38,34,2738,475,1316,459,3.5368,122500
-121.8,37.99,16,3077,465,1575,446,5.5,179500
-121.77,37.99,4,5623,780,2429,716,5.4409,205100
-121.88,38.03,10,2769,619,1045,469,4.1111,158600
-121.9,38.04,36,1489,331,838,259,1.2024,90200
-121.86,38.04,52,242,59,188,54,1.3958,67500
-121.87,38.02,52,2264,439,1403,476,2.7083,99400
-121.88,38.03,52,1225,250,725,231,2,101400
-121.9,38.03,51,2982,689,1831,608,2.0034,87700
-121.88,38.02,46,2112,466,1249,382,2.5737,87000
-121.89,38.02,36,2707,550,1827,545,3.3371,94600
-121.9,38.02,5,1560,369,1037,372,3.6154,181800
-121.87,38.02,31,3644,746,2229,678,3.1389,117800
-121.88,38,16,2605,440,1352,408,4.1947,140300
-121.88,38.01,9,5329,1284,2827,1202,2.7374,150000
-121.89,38.01,30,4114,743,1994,722,4.2227,134400
-121.88,38,22,721,117,367,129,5.3098,151900
-121.86,38,4,4075,927,2239,849,3.5857,165200
-121.86,38,16,3216,464,1504,453,5.25,161700
-121.89,37.99,4,2171,597,928,461,4.1016,170500
-121.88,37.99,16,3787,515,1606,507,5.5676,174200
-121.87,38,17,2713,442,1475,415,4.8542,144100
-121.87,37.99,15,2203,312,1051,311,4.9783,163900
-121.89,38.01,28,3639,751,2362,641,3.0042,103900
-121.9,38.02,12,1497,360,943,341,2.1417,122200
-121.9,38.01,16,2604,454,1696,481,4.6628,136000
-121.92,38.02,8,2750,479,1526,484,5.102,156500
-121.89,38.01,32,1000,188,663,212,4.0972,99200
-121.9,38.01,34,3779,766,2356,722,3.5129,110600
-121.9,38,14,1930,363,990,322,4.1094,162200
-121.9,38,14,2677,368,1288,375,6.0497,177500
-121.92,38.01,7,1632,248,879,262,6.1237,166000
-121.93,38.01,9,2294,389,1142,365,5.3363,160800
-121.93,38.02,13,1524,286,940,308,5.1337,154800
-121.95,38.03,5,5526,,3207,1012,4.0767,143100
-121.94,38.03,27,1654,478,1141,420,1.4871,87100
-121.96,38.02,35,2691,542,1409,505,3.016,95300
-121.95,38.02,9,3360,833,2041,810,2.1013,100700
-121.94,38.02,29,5765,1170,3266,1131,2.7907,113900
-121.92,38.03,16,2176,464,1410,434,3.5436,100200
-121.92,38.02,16,1840,355,1288,338,4.2067,125000
-121.91,38.02,15,2966,558,1687,527,3.4817,129800
-121.97,38.04,38,2505,554,1595,498,2.5833,83500
-121.97,38.03,17,3685,685,1939,649,3.7043,139800
-121.98,38.05,31,2810,518,1640,503,3.3661,98500
-122,38.03,4,2341,408,1235,431,6.0424,165900
-122,37.98,32,1013,169,436,173,5.1118,226900
-122,37.97,27,2491,428,1171,431,5.1021,202800
-122,37.99,28,4035,641,1881,659,5.4607,192300
-122,37.98,31,2030,337,867,341,5.0915,193200
-121.99,37.98,23,2293,411,969,399,4.4536,184000
-121.99,37.97,28,2839,428,1372,443,6.2135,217200
-122,37.98,35,1192,201,535,172,4.9219,182000
-122,37.98,36,404,77,237,88,4.525,161300
-121.95,37.96,18,2739,393,1072,374,6.1436,259500
-121.97,37.97,27,1691,289,807,296,6.1168,210500
-121.97,37.97,24,1330,183,656,205,5.0092,244100
-121.97,37.96,28,1433,290,877,313,4.7891,184800
-121.96,37.96,28,1838,273,899,270,5.2145,229200
-121.96,37.95,7,3418,740,1583,676,3.6133,196100
-121.98,37.96,22,2987,,1420,540,3.65,204100
-121.97,37.97,26,1977,264,817,273,5.7512,240200
-121.98,37.97,26,2714,390,1232,409,5.9617,231100
-121.98,37.97,26,2738,428,1316,430,5.2442,213200
-121.99,37.97,22,2823,509,1271,474,5.1333,207200
-121.99,37.97,30,3320,589,1470,543,4.6071,184100
-122,37.96,32,3364,666,1980,678,3.7,179000
-122,37.96,28,4071,713,2033,647,4.5833,190700
-121.96,37.95,13,3216,765,1627,715,3.0859,167800
-121.97,37.95,8,4253,709,1883,662,5.431,246700
-121.98,37.96,12,5048,1122,2209,1014,3.1573,126700
-121.99,37.96,16,3324,479,1470,461,7.6166,260400
-121.99,37.96,17,2756,423,1228,426,5.5872,200600
-121.98,37.95,14,6290,854,2724,820,6.7371,267400
-121.98,37.95,16,2984,406,1317,397,6.7821,265900
-122,37.95,9,2214,256,848,239,6.8145,339200
-121.97,37.87,4,1029,126,416,122,13.4883,500001
-121.96,37.84,29,7479,977,2744,943,7.5139,398200
-121.96,37.85,10,3209,379,1199,392,12.2478,500001
-121.84,37.98,8,7505,1089,3325,1016,5.2699,204200
-121.81,37.97,8,1584,236,615,202,6.4753,166800
-121.78,37.97,4,17032,2546,7653,2359,5.5601,213700
-121.83,37.95,17,1133,244,716,235,2.875,162500
-121.94,37.83,11,2836,373,959,335,10.5815,500001
-121.89,37.82,4,11444,1355,3898,1257,13.2949,500001
-121.91,37.81,7,3477,416,1216,395,13.1499,500001
-121.82,37.81,12,4711,659,2089,621,8.3209,485400
-121.96,37.99,2,3129,707,1606,698,2.9591,210100
-121.96,37.94,26,3084,505,1557,501,5.1582,194700
-121.96,37.95,25,4026,791,1850,709,4.1483,181200
-121.95,37.94,21,3153,411,1318,431,6.8642,285400
-121.97,37.93,4,3241,464,1552,494,6.6134,307000
-121.99,37.92,14,1780,224,764,226,9.0243,427700
-121.93,37.89,13,2085,292,852,264,7.3445,366700
-121.92,37.96,14,5332,884,2093,839,5.2798,237400
-121.94,37.95,18,2541,355,986,346,7.1978,288000
-121.91,37.93,13,1610,198,703,217,8.7059,329400
-121.94,37.94,26,1299,174,533,180,6.2296,291700
-121.94,37.93,16,3421,427,1341,428,7.5695,320400
-121.93,37.93,16,2876,391,1089,377,6.299,286900
-121.93,37.93,16,2169,262,877,245,6.6049,312600
-121.95,37.94,27,1469,216,578,219,5.9346,253600
-119.94,38.96,20,1451,386,467,255,1.5536,212500
-119.95,38.95,8,430,107,36,18,2.625,187500
-119.95,38.95,22,1058,352,851,269,2.02,87500
-119.95,38.95,21,2046,580,952,353,1.7245,92200
-119.94,38.95,25,1789,536,1134,396,2.32,91300
-119.95,38.94,24,2180,517,755,223,2.5875,173400
-119.93,38.94,27,1709,408,97,44,2.4917,200000
-119.97,38.94,26,1485,334,406,180,1.9667,84600
-119.97,38.93,24,856,185,388,108,3.1806,107200
-119.98,38.96,25,2443,444,868,342,3.5417,114800
-119.96,38.94,19,1429,292,585,188,2.2589,131600
-119.96,38.94,27,1492,393,717,254,1.8906,104200
-119.96,38.93,22,2731,632,1215,483,2.83,110500
-119.94,38.92,24,1258,216,235,96,4.6,136800
-119.98,38.94,25,1339,328,503,219,1.9018,109700
-119.98,38.94,23,1564,298,339,147,4.0417,99300
-119.99,38.94,24,1216,289,421,185,3.1625,103600
-119.99,38.94,22,3119,640,786,351,3.0806,118500
-119.99,38.93,23,1882,414,673,277,2.9091,141900
-119.98,38.93,28,1194,272,494,203,2.3281,85800
-119.98,38.93,25,1262,293,534,226,2.6607,90400
-119.98,38.92,27,2682,606,1010,399,3.15,86900
-119.98,38.92,28,1408,312,522,221,2.0708,89600
-120,38.93,17,8005,1382,999,383,3.9722,313400
-120.01,38.93,22,3080,610,1045,425,2.996,126100
-120,38.92,17,1106,207,466,180,3.3295,126600
-120,38.92,26,529,116,191,83,3.5,103600
-120.01,38.92,23,964,246,485,198,1.7188,96100
-120.01,38.92,25,1758,357,689,278,2.675,104200
-120.02,38.91,22,2138,493,829,330,2.2056,107200
-120.02,38.92,24,1194,246,414,151,3.2396,101900
-120.01,38.91,27,968,191,283,143,2.0938,94400
-120.01,38.91,17,2732,609,1005,499,1.9851,86700
-120.01,38.89,24,1669,422,589,281,3.0089,100800
-120,38.9,21,1653,419,737,308,1.9727,114100
-119.99,38.88,17,2807,529,675,251,2.7457,107800
-119.98,38.9,16,3109,572,885,334,3.5,134700
-119.92,38.91,15,3831,625,984,328,5.0718,162500
-120,38.87,12,1437,268,395,144,4.225,127600
-119.96,38.84,17,2722,512,828,289,3.5714,109700
-120.02,38.76,15,3142,618,725,285,4.3333,121400
-120.04,38.86,16,2708,481,712,261,3.7891,117700
-120.03,38.89,15,3042,588,918,336,3.8333,118800
